action_type,alignment,alpha,background_blur,background_gradient_direction,border_color_alpha,border_color_hex,border_width,bottomMask,color_alpha,color_hex,content_mode,corner_radius_units,corner_radius_value,description,disable_tap_zones,flip_interval,font_color_alpha,font_color_hex,font_size,font_type,guid,height,height_points,hex,hidden,hide_page_status,icon_background_blur,icon_background_gradient_direction,item_size_height_units,item_size_height_value,item_size_width_units,item_size_width_value,key,log_view,margin_bottom,margin_left,margin_right,margin_top,name,number_of_items,orientation,padding_bottom,padding_left,padding_right,padding_top,rotation,size_height_units,size_height_value,size_width_units,size_width_value,template_identifier,template_name,text,tint_color_alpha,tint_color_hex,title,topMask,trigger,type,userInfo,story_id
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,заключение,False,15.0,1.0,#000000,15,normal,3f7b7a46-d61d-4328-98eb-82b093765abb,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Покупки без процентов,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Как это работает,,,,False,,web_view,,306
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,5,,25.0,1.0,#000000,15,normal,f12a09d4-3636-4138-99d2-9f9fa8428bb5,1.0,pixel,#ffdd2c,false,,False,vertical,,,,,,,0,0,0,0,Книга или фильм?,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Заказать книгу,,,2,False,,web_view,,279
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,,15.0,1.0,#000000,15,normal,0eac4f28-2d88-4bd7-8908-c566fd0dba50,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,,0,0,0,0,Узнать свой ИНН,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Узнать свой ИНН,,,,False,,deeplink,,320
,center,1.0,False,diagonal,,,0.0,False,,,fill,percent,50,копия,False,15.0,1.0,#000000,15,normal,a3975074-8429-4bf6-88f1-b0e2a2ad3ba9,40.0,percent,#ffdd2c,false,,False,vertical,,,,,,False,0,0,0,0,Бронь ресторанов,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Выбрать ресторан,,,,False,,common_request,,286
,center,1.0,False,diagonal,,,0.0,False,,,fit,percent,50,ответ вклад,False,25.0,1.0,#000000,15,normal,773dacd7-ffb1-4d83-a542-2ea34c35c72d,40.0,percent,#ffdd2c,false,,False,vertical,,,,,deposit,False,0,0,0,0,Счет или вклад?,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Открыть вклад,,,,False,,common_request,"{""paramValue"":""YES""}",410
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,,15.0,1.0,#ffffff,18,normal,6d536015-f426-4f31-8181-92b1351e7660,40.0,percent,#ffffff,false,,False,vertical,,,,,,False,0,16,16,0,Детская карта,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Контролируйте расходы, чтобы знать о тратах ребенка и участвовать в достижении поставленных им целей.",,,,False,,grouped,,371
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,20.0,1.0,#ffffff,18,normal,25f375c8-8301-470a-a9a1-da5d5a3744f1,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Карта с 4 валютами,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Теперь валюта карты — доллары США. Вы можете без конвертации расплачиваться ею за границей, а потом снова сделать ее рублевой.",,,,False,,grouped,,363
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,20,normal,83c74892-3381-46ad-b2c3-2dc2efd2951a,,,#ffffff,false,False,False,vertical,,,,,,True,4,16,16,8,Как пополнить карту,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Оформите перевод по реквизитам. Деньги поступят на счет в течение 1–2 дней.,,,,False,,grouped,,477
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,d6f1806e-97ac-4d38-a22d-eebef9d5a52b,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Поправки в ПДД,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Штрафов за нарушение этого пункта ПДД пока нет, но это вопрос вашей безопасности",,,Поправки в ПДД,False,,label,,534
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,99df9284-c2e6-421c-9073-2c9d98cf2826,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Танцы до утра,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Слушать,,,,False,,web_view,,1365
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,a01978c0-3ea8-4770-bd7d-d6ef0861ab43,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Как поднять себе зарплату,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Читать,,,,False,,web_view,,677
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,17,normal,3be7e7dc-24be-4a63-9931-8e6f632ca10e,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Где снять валюту,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Чтобы посмотреть адрес и часы работы банкомата, нажмите на него на карте и потяните вверх вкладку с информацией.",,,,False,,grouped,,1331
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,d8d2ced9-7202-4822-862c-8d7984326d9a,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Подкасты на русском,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Слушать,,,,False,,web_view,,539
,leading,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,Инструкция,False,8.0,1.0,#ffffff,20,normal,1d2b8377-36c8-46d0-8605-d79e4f9d9de8,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Перевод по номеру телефона,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Если через 24 часа получатель не заберет деньги по ссылке, они вернутся на счет отправителя. За переводы до 20 000 ₽ комиссию не возьмем, а свыше — согласно тарифу",,,,False,,label,,543
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,4c1e5fd6-b348-4dbc-b4b1-8d0f89d14fb8,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Справки в МФЦ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Мы всё узнали,,,,False,,web_view,,663
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,78671e84-46a3-49d1-be91-92d2cdd1a80d,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Зарплата на Tinkoff Black,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Перевести зарплату,,,,False,,web_view,,701
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,c0840053-4f06-40ab-a4ff-1c60daccefbe,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,120,Как продать Айфон,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Читать,,,,False,,web_view,,540
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,b47af1f3-5447-42b7-874d-c728af4be41f,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Научиться готовить: 5 блюд,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,Для клиентов банка на все мастер-классы кулинарной студии CulinaryOn действует спецпредложение – кэшбэк 10% при оплате картой. ,,,,False,,label,,710
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,12.0,1.0,#000000,15,normal,f0bbf71e-14a1-4813-a920-df5a40e8c2b2,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Налог с перевода,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Узнать,,,,False,,web_view,,644
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,Читать Т–Ж,False,20.0,1.0,#000000,15,normal,426f1819-9891-4b20-92ca-4383058d5e7c,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Мою машину угнали,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Как вернуть своё,,,,False,,web_view,,595
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,20,normal,4a4289e2-dbe6-4003-bc10-53fdf88a8e36,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Карта для онлайн-платежей,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Чтобы использовать карту для бесконтактной оплаты, выберите ее на главном экране → «Услуги» → «Добавить в Apple Pay».",,,,False,,grouped,,655
,leading,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,Инструкция,False,8.0,1.0,#ffffff,20,normal,e1ed1d8a-c3e3-4307-b88a-ddb217a7a269,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Перевод по номеру телефона,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Если через 24 часа получатель не заберет деньги по ссылке, они вернутся на счет отправителя. За переводы до 20 000 ₽ комиссию не возьмем, а свыше — согласно тарифу",,,,False,,label,,544
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,Кнопка,False,25.0,1.0,#000000,14,bold,a05023d7-548d-44ad-84a8-783133da8f84,1.0,pixel,#e0e4e8,false,False,False,vertical,,,,,,True,0,0,0,0,Что читать на выходных,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать на Bookmate,,,2,False,,web_view,,687
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,3be1e47a-198b-48ac-9c3e-babc2aea05d8,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Фестиваль Esquire Weekend ,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,914
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,69121ebd-a542-49f3-94cb-78d2473868c6,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,ОСАГО не выходя из дома,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Оформить е-ОСАГО,,,,False,,web_view,,551
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,15.0,1.0,#000000,15,normal,05a42de6-e6fe-498e-a1e5-749bb4083bf1,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Легко ли вас ограбить,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Узнать,,,,False,,web_view,,627
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,bda4a60a-f8c5-42e0-ba76-85e167158392,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Зарплата на Tinkoff Black,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Перевести зарплату,,,,False,,web_view,,703
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,23e163ff-9406-4df8-94ec-f7ba1e47c12d,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Сосед с дрелью,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,732
,leading,0.8,False,diagonal,,,0.0,False,,,fill,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,7fda3352-d0d3-440a-81f1-6fe192dec618,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Как менять валюту,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"В рабочие дни с 10:00 до 18:30 по Москве: в это время минимальный спред составляет +/- 0,25%. Это означает, что при биржевом курсе доллара в 70 ₽ курс покупки может составить всего 69,80 ₽, а курс продажи — 70,20 ₽.",,,,False,,label,,672
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,ac817fa4-cbc7-4fbe-837f-b4233bfd43e9,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Перевод идет долго,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,657
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,8,False,15.0,1.0,#000000,15,normal,14e9df7f-c81a-4e10-9079-0a82d2d5ea5f,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Профессия: свадебный фотограф,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать о профессии,,,,False,,web_view,,695
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,c11b049a-627c-48dd-80cf-15b16a3f66b8,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Онлайн-медицина,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Обычно онлайн-консультация стоит дешевле визита к врачу. Первый прием — от 199 до 1200 ₽, повторный — от 499 до 2500 ₽ в зависимости от сервиса и квалификации врача.",,,,False,,label,,613
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,59c09de6-0d6e-4b99-8d47-3e1cbcdc967b,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Сервисы доставки еды,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Заказать,,,,False,,web_view,,788
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,4a74bd85-25e1-48df-baf4-0a48b4ef3733,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Чужая карта,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,771
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,fc08b9bb-59ae-4371-8496-07a9d3f44a8a,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Гаджеты для авто,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Купить,,,,False,,web_view,,1482
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,15.0,1.0,#ffffff,20,normal,b091330d-527e-47f6-b5ed-3279a8065663,,,#ffffff,false,False,False,vertical,,,,,,True,0,16,16,0,Пополнение в один клик,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Все получилось. Деньги придут мгновенно,,,,False,,grouped,,483
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,cee8bea1-c26d-49cf-9860-d86b740f79de,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Лучшие акции – 2017,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Открыть и купить,,,,False,,web_view,,596
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,20,normal,2bc9ab51-6b67-4647-8a96-f23dac824ad9,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Изменить пин-код,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Введите новую комбинацию и нажмите кнопку «Задать ПИН-код».,,,,False,,grouped,,145
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,abdffce4-d7c6-4df4-88ac-3e77f87ac55f,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Лучшие хорроры,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Билеты,,,,False,,web_view,,1023
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,323dced4-5b37-4961-8084-6f0a410cf5e4,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Платные подписки,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Закон на вашей стороне,,,,False,,web_view,,794
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,29b2789f-8a44-4943-9866-95fa0cca5673,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Зарплата на Tinkoff Black,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Перевести зарплату,,,,False,,web_view,,699
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,0.0,1.0,#000000,15,normal,10925f73-b19b-4bd8-8f07-df05e9438f62,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Как у них: Берлин,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Читать о жизни в Берлине,,,,False,,web_view,,734
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,8ffd42ee-040d-4932-8784-29641b141663,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Новые условия по вкладам,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Открыть вклад,,,,False,,deeplink,,948
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,6,False,15.0,1.0,#000000,15,normal,223dad75-964e-40bd-8ac7-61f17ea1d147,40.0,percent,#ffdd2c,false,False,False,vertical,,,,,,False,0,0,0,0,Франшиза: квесты,,horizontal,0,32,32,0,,pixels,36,pixels,0,,text,Франшиза квестов,,,,False,,web_view,,874
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,копия,False,20.0,1.0,#000000,15,normal,f705a5dd-892c-45a5-ada6-8e3ca52d50fd,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Дивиденды «Алросы»,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Подробнее,,,,False,,web_view,,886
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,6c0b737b-649b-41c1-9295-68e70438f644,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Главные фавориты ЧМ,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"У действующих чемпионов Европы не только слаженный молодой коллектив, но и главный козырь в лице Криштиану Роналду. Португалец сейчас находится в своей лучшей форме и способен в одиночку повлиять на результат матча. ",,,,False,,label,,1046
,center,1.0,False,vertical,,,,False,,,fill,,,2 матч,False,,1.0,#ffffff,15,bold,f89bc6d5-d450-4981-a437-98d0e0f1e9c7,,,,false,False,False,vertical,,,,,,True,7,32,32,-12,,,horizontal,,,,,,pixels,64,pixels,96,,,Англия,,,,False,,label,,1162
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,a7ff433f-b843-4d13-a972-f3d7cdfd36fa,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Налоги на бирже,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Подробный разбор,,,,False,,web_view,,995
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,04988d1c-db8d-4947-ae9f-d9bd53dcd1ce,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Успеть до конца лета,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"«Генеральная репетиция» — большая экспозиция фонда V-A-C в ММОМА. До 16 сентября вы успеете посмотреть третий и заключительный акт выставки о том, каково это — быть музейным экспонатом. С работами Энди Уорхола и Луиз Буржуа будут выставлены бытовые принадлежности вроде старинной муфты или чемодана. ",,,,False,,label,,1451
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,13.0,1.0,#ffffff,17,normal,869d0e53-caee-4dfa-aee6-3c1c07bb592f,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Регулярный платеж ,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Перейдите во вкладку «Регулярно», укажите, с какого счета, как часто и на какую сумму вы будете пополнять телефон, а также срок действия услуги. Нажмите «Сохранить».",,,,False,,grouped,,150
,center,1.0,False,diagonal,1.0,#ffffff,1.0,False,,,fill,pixels,16,тощщый,False,10.0,1.0,#000000,15,bold,6c584a23-8593-4776-86ae-bf795a75afad,,,#ffffff,false,False,False,vertical,,,,,,True,0,0,0,0,Снять много наличных,,horizontal,0,0,0,0,,pixels,44,pixels,225,,,Ближайший банкомат,,,,False,,deeplink,,779
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,8.0,1.0,#ffffff,20,normal,6087bb72-3d8e-425b-a708-cbae09420105,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Блокировка карты,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,Укажите причину блокировки и нажмите кнопку «Блокировать».,,,,False,,grouped,,137
,center,1.0,False,vertical,,,0.0,False,,,fill,pixels,0,копия,False,10.0,1.0,#ffffff,20,normal,464efc28-6fcf-43c1-9e12-0bc67e1f106c,,,#ffffff,false,False,False,vertical,,,,,,False,0,16,16,0,Подключить подписки,,horizontal,0,0,0,0,,pixels,232,pixels,288,,text,"Выберите категорию, заполните все поля и нажмите «Готово».",,,,False,,grouped,,147
,center,1.0,False,diagonal,,,0.0,False,,,,percent,50,описание,False,20.0,1.0,#000000,15,normal,9b2d3516-2d82-405f-a042-4b50996e1dfe,,,#ffdd2c,false,False,False,vertical,,,,,,True,0,0,0,0,Опасная кредитка,,horizontal,0,32,32,0,,pixels,36,pixels,0,text_label,text,Открыть чат,,,,False,,deeplink,,915
,leading,0.8,False,diagonal,,,0.0,False,,,,pixels,0,описание,False,20.0,1.0,#ffffff,17,normal,9c49e1a1-e14b-44db-82d8-44e5a678e862,,,#000000,false,False,False,vertical,,,,,,True,0,0,0,0,Париж: лайфхаки,,horizontal,0,0,0,0,,pixels,0,pixels,0,text_label,text,"Парижское такси стоит очень дорого. 10-минутная поездка обойдется в 20 евро. Лучше пользоваться приложением Uber или метро. Для общественного транспорта есть приложение Moovit. Оно показывает оптимальные маршруты до пункта назначения, а также задержки автобусов, забастовки и другие парижские катаклизмы. ",,,,False,,label,,1090
